#LineNumber;LineDesignation;DefaultTransportMode;DefaultTransportModeCode;LastModifiedUtcDateTime;ExistsFromDate
33;33;;TRAIN;2009-02-20 00:00:00.000;2009-02-20 00:00:00.000
34;34;;TRAIN;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
34;34;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
35;35;;TRAIN;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
35;35;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
36;36;;TRAIN;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
36;36;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
37;37;;TRAIN;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
38;38;;TRAIN;2012-08-22 00:00:00.000;2012-08-22 00:00:00.000
38;38;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
39;39;;TRAIN;2007-11-08 00:00:00.000;2007-11-08 00:00:00.000
40;40;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
40;40;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
41;41;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
42;42;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
43;43;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
44;44;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
46;46;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
48;48;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
49;49;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
50;50;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
51;51;Djurgårdsfärjan;SHIP;2010-03-18 00:00:00.000;2010-03-18 00:00:00.000
52;52;;BUS;2010-07-10 00:00:00.000;2010-07-10 00:00:00.000
52;52;Djurgårdsfärjan;SHIP;2010-04-22 00:00:00.000;2010-04-22 00:00:00.000
53;53;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
53;53;Djurgårdsfärjan;SHIP;2010-04-28 00:00:00.000;2010-04-28 00:00:00.000
54;54;Djurgårdsfärjan;SHIP;2010-04-28 00:00:00.000;2010-04-28 00:00:00.000
55;55;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
56;56;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
59;59;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
62;62;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
65;65;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
66;66;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
69;69;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
70;70;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
71;71;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
72;72;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
73;73;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
74;74;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
76;76;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
77;77;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
80;80;Pendelbåtstrafiken Sjövägen;SHIP;2013-08-19 00:00:00.000;2013-08-19 00:00:00.000
80;80;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
90;-;Cinderellabåt;SHIP;2011-05-20 00:00:00.000;2011-05-20 00:00:00.000
91;91;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
94;94;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
96;96;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
101;101;;BUS;2012-08-24 00:00:00.000;2012-08-24 00:00:00.000
102;102;;BUS;2012-08-24 00:00:00.000;2012-08-24 00:00:00.000
110;110;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
112;112;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
113;113;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
114;114;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
115;115;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
